"Statistic Label","Quarter","Economic Sector NACE Rev 2","Type of Employee","UNIT","VALUE"
"Average Weekly Earnings","2015Q4","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2015Q4","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2016Q1","Construction (F)","All employees","Euro","707.73"
"Average Weekly Earnings","2016Q1","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2016Q1","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2016Q1","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2016Q2","Construction (F)","All employees","Euro","747.26"
"Average Weekly Earnings","2016Q2","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2016Q2","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2016Q2","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2016Q3","Construction (F)","All employees","Euro","735.24"
"Average Weekly Earnings","2016Q3","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2016Q3","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2016Q3","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2016Q4","Construction (F)","All employees","Euro","750.88"
"Average Weekly Earnings","2016Q4","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2016Q4","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2016Q4","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2017Q1","Construction (F)","All employees","Euro","739.89"
"Average Weekly Earnings","2017Q1","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2017Q1","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2017Q1","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2017Q2","Construction (F)","All employees","Euro","722.73"
"Average Weekly Earnings","2017Q2","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2017Q2","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2017Q2","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2017Q3","Construction (F)","All employees","Euro","739.38"
"Average Weekly Earnings","2017Q3","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2017Q3","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2017Q3","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2017Q4","Construction (F)","All employees","Euro","750.64"
"Average Weekly Earnings","2017Q4","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2017Q4","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2017Q4","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2018Q1","Construction (F)","All employees","Euro","747.27"
"Average Weekly Earnings","2018Q1","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2018Q1","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2018Q1","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2018Q2","Construction (F)","All employees","Euro","773.1"
"Average Weekly Earnings","2018Q2","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2018Q2","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2018Q2","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2018Q3","Construction (F)","All employees","Euro","796.07"
"Average Weekly Earnings","2018Q3","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2018Q3","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2018Q3","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2018Q4","Construction (F)","All employees","Euro","800.5"
"Average Weekly Earnings","2018Q4","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2018Q4","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2018Q4","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2019Q1","Construction (F)","All employees","Euro","768.44"
"Average Weekly Earnings","2019Q1","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2019Q1","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2019Q1","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2019Q2","Construction (F)","All employees","Euro","789.4"
"Average Weekly Earnings","2019Q2","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2019Q2","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2019Q2","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2019Q3","Construction (F)","All employees","Euro","804.64"
"Average Weekly Earnings","2019Q3","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2019Q3","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2019Q3","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2019Q4","Construction (F)","All employees","Euro","841.01"
"Average Weekly Earnings","2019Q4","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2019Q4","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2019Q4","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2020Q1","Construction (F)","All employees","Euro","834.22"
"Average Weekly Earnings","2020Q1","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2020Q1","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2020Q1","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2020Q2","Construction (F)","All employees","Euro","769.12"
"Average Weekly Earnings","2020Q2","Construction (F)","Managers, professionals and associated professionals","Euro",""
